所属階層１,所属階層２,所属階層３,所属階層４,所属階層５
スタッフィング事業本部,カスタマーサクセス推進室,MDSカスタマーサポートチーム,,
スタッフィング事業本部,看護スタッフィング事業部,東日本グループ,関東Bチーム,
レバテック株式会社,ITリクルーティング事業部,キャリアアドバイザーグループ,CRキャリアアドバイザーチーム,CR第1ユニット
レバテック株式会社,ITソリューション事業部,インフラエンジニアグループ,INフロントチーム,
システム本部,情報システム室,コーポレートエンジニアリンググループ,コーポレートデベロップメントチーム,
中途採用事業本部,ハタラクティブ事業部,東日本グループ,東日本RAチーム,HTRA東日本新規ユニット1
中途採用事業本部,ハタラクティブ事業部,東日本グループ,東日本RAチーム,HTRA東日本新規ユニット1
海外事業本部,人材事業推進部,AJSグループ,セールスサポートチーム,
M&Aアドバイザリー事業部,,,,
レバテック株式会社,インサイドセールス部,リクルートコンサルティンググループ,RC第2チーム,RC第4ユニット
システム本部,レバウェル開発部,CXグループ,ケアチーム,
スタッフィング事業本部,看護スタッフィング事業部,東日本グループ,東海チーム,
レバテック株式会社,ITリクルーティング事業部,福岡グループ,リクルーティングアドバイザーチーム,
中途採用事業本部,人材戦略室,HRBPユニット,,
レバテック株式会社,ITリクルーティング事業部,大阪グループ(ITリクルーティング),リクルーティングアドバイザーチーム,
エージェント第一事業本部,看護エージェント事業部,営業推進グループ,フォロワーチーム,
システム本部,NALYSYS開発部,NALYSYSエンジニアリングチーム,第5ユニット,
エージェント第一事業本部,看護エージェント事業部,東日本統括グループ,さいたまグループ,さいたまDチーム
レバテック株式会社,ITソリューション事業部,Webユーザーグループ,WebユーザーCAチーム,WebユーザーCA第4ユニット
中途採用事業本部,カスタマーロイヤルティ推進室,ITRグループ,ナーチャリングチーム,ナーチャリングユニット
レバテック株式会社,ITソリューション事業部,クリエイターゲームグループ,CRゲームキャリアアドバイザーチーム,CRGキャリアアドバイザー第1ユニット
中途採用事業本部,ワークリア事業部,WL管理グループ,WL管理渋谷チーム,WL管理渋谷ユニット4
レバテック株式会社,ITソリューション事業部,フォローグループ,ITエンジニアチーム1,ITエンジニアチーム1第2ユニット
システム本部,NALYSYS開発部,NALYSYSエンジニアリングチーム,第3ユニット,
システム本部,NALYSYS開発部,NALYSYSエンジニアリングチーム,第4ユニット,
人事本部,人事労務部,,,
レバテック株式会社,ITリクルーティング事業部,大阪グループ(ITリクルーティング),,
LW経営企画本部,経営企画部,CRMセールス,介護掘り起しチーム,
マーケティング部,機能戦略室,CRMグループ,レバテックチーム,
中途採用事業本部,ハタラクティブ事業部,首都圏グループ,HTCA首都圏JGチーム,HTCA首都圏JGユニット4
システム本部,レバテック開発部,DevOps推進グループ,セキュリティチーム,
LW経営企画本部,経営企画部,事業推進Aチーム,,
マーケティング部,ブランドコミュニケーション室,プロモーショングループ,SNSチーム,
レバテック株式会社,ITソリューション事業部,Webユーザーグループ,WebユーザーCAチーム,WebユーザーCA第2ユニット
エージェント第一事業本部,看護エージェント事業部,東日本統括グループ,北関東北信越グループ,北関東Bチーム
レバテック株式会社,ITソリューション事業部,名古屋グループ,名古屋CAチーム,名古屋キャリアアドバイザーユニット
レバテック株式会社,ITソリューション事業部,Webベンダーグループ,Webベンダーフロントチーム,
エージェント第一事業本部,看護エージェント事業部,東日本統括グループ,横浜グループ,
エージェント第一事業本部,看護エージェント事業部,東日本統括グループ,東京日勤グループ,東京日勤Eチーム
レバテック株式会社,インサイドセールス部,リクルートコンサルティンググループ,RC第2チーム,RC第3ユニット
システム本部,NALYSYS開発部,NALYSYSエンジニアリングチーム,第6ユニット,
中途採用事業本部,ワークリア事業部,WL管理グループ,WL管理千葉チーム,WL管理千葉ユニット2
レバテック株式会社,ITソリューション事業部,フォローグループ,ITエンジニアチーム2,ITエンジニアチーム2第1ユニット
レバテック株式会社,ITソリューション事業部,フォローグループ,ITエンジニアチーム1,ITエンジニアチーム1第1ユニット
レバテック株式会社,コンサルティング事業部,BizDevグループ,フィールドセールスユニット,
システム本部,ソリューション開発部,医療テック事業,開発チームA,
エージェント第一事業本部,看護エージェント事業部,新卒教育グループ,新卒教育チーム,
中途採用事業本部,ハタラクティブ事業部,東日本グループ,,
エージェント第二事業本部,医療技師エージェント事業部,地方グループ,,
レバテック株式会社,ITソリューション事業部,クリエイターサービスグループ,CRサービスキャリアアドバイザーチーム,CRSキャリアアドバイザー第2ユニット
エージェント第一事業本部,介護エージェント事業部,神奈川グループ,神奈川Cチーム,
エージェント第一事業本部,看護エージェント事業部,東日本統括グループ,北日本グループ,札幌Bチーム
マーケティング部,ブランドコミュニケーション室,クリエイティブグループ,第1クリエイティブチーム,
レバテック株式会社,ITリクルーティング事業部,キャリアアドバイザーグループ,INキャリアアドバイザーチーム,
エージェント第一事業本部,介護エージェント事業部,西日本グループ,九州Dチーム,
中途採用事業本部,転職エージェント事業部,エージェントグループ,,
キャリアチケット事業本部,事業推進部,,,
エージェント第一事業本部,介護エージェント事業部,東海グループ,名古屋Bチーム,
レバテック株式会社,ITリクルーティング事業部,リクルーティングアドバイザーグループ,開発カテゴリーナーチャリングチーム,CN第1ユニット
LWプロフェッショナルメディア事業本部,プロフェッショナルメディア事業部,レバウェル編集局,Aグループ,Aユニット
エージェント第一事業本部,看護エージェント事業部,西日本統括グループ,中四国グループ,岡山四国Aチーム
レバテック株式会社,ITリクルーティング事業部,名古屋グループ,キャリアアドバイザーチーム,
広報PR・教育事業本部,広報PR・教育事業部,スクール推進グループ,スクール企画チーム,
マーケティング部,ブランドコミュニケーション室,プロモーショングループ,CTチーム,
エージェント第一事業本部,介護エージェント事業部,北信越・北関東グループ,北関東Aチーム,
マーケティング部,機能戦略室,CRMグループ,レバテックチーム,
マーケティング部,ブランドコミュニケーション室,ブランドマネジメントグループ,第2ブランドマネジメントチーム,
レバテック株式会社,ITリクルーティング事業部,キャリアアドバイザーグループ,INキャリアアドバイザーチーム,IN第3ユニット
海外事業本部,メキシコ支社,JapaneseDesk,JapaneseTeam,
エージェント第一事業本部,治療家エージェント事業部,治療家チーム,,
キャリアチケット事業本部,事業推進部,品質管理室,,
レバテック株式会社,シェアードサービス推進部,サービスオペレーショングループ,フリーランスチーム,インバウンドユニット
レバテック株式会社,ITリクルーティング事業部,キャリアアドバイザーグループ,ハイクラスキャリアアドバイザーチーム,ハイクラス第2ユニット
マーケティング部,プロダクト戦略室,プロダクトグループ,プロダクトマネジメントチーム,
エージェント第一事業本部,看護エージェント事業部,東日本統括グループ,東京常勤グループ,東京常勤Cチーム
人事本部,人事採用部,新卒採用グループ,営業職第二チーム,営業職第二グループユニットH
エージェント第一事業本部,看護エージェント事業部,東日本統括グループ,船橋グループ,船橋Dチーム
マーケティング部,プロダクト戦略室,プロダクトデザイングループ,デザインマネジメントチーム,HRテック事業領域ユニット
人事本部,人事採用部,新卒採用グループ,営業職第一チーム,営業職第一グループユニットF
エージェント第一事業本部,看護エージェント事業部,西日本統括グループ,九州グループ,南九州Bチーム
マーケティング部,ブランドコミュニケーション室,プロモーショングループ,LTチーム,
マーケティング部,事業戦略室,第二グループ,レバテックITSマーティングチーム,
エージェント第一事業本部,看護エージェント事業部,新卒教育グループ,,
エージェント第一事業本部,看護エージェント事業部,西日本統括グループ,九州グループ,福岡Bチーム
レバテック株式会社,ITリクルーティング事業部,キャリアアドバイザーグループ,機電キャリアアドバイザーチーム,機電第1ユニット
エージェント第一事業本部,介護エージェント事業部,関西拠点グループ,兵庫Bチーム,
中途採用事業本部,営業企画室,,,
キャリアチケット事業本部,就職メディア事業部,,,
レバテック株式会社,ITソリューション事業部,IStoCグループ,IStoCチーム,
レバテック株式会社,IT新卒紹介事業部,新卒メディアグループ,ビジネスチーム,IS／FSユニット
レバテック株式会社,ITリクルーティング事業部,キャリアアドバイザーグループ,INキャリアアドバイザーチーム,IN第1ユニット
エージェント第三事業本部,薬剤師エージェント事業部,薬剤師エージェントグループ,,
システム本部,システム人事戦略室,Enhancementグループ,Enhancementチーム,
エージェント第一事業本部,看護エージェント事業部,営業推進グループ,インターンチームA,
人事本部,人事採用部,新卒採用グループ,営業職第二チーム,営業職第二グループユニットH
オンライン診療事業部,カスタマーサクセスグループ,,,
中途採用事業本部,NDC事業部,ドライバーエージェントグループ,第二ユニット,
中途採用事業本部,ハタラクティブ事業部,首都圏グループ,HTCA首都圏CBチーム,
システム本部,メディアシステム部,経営基盤開発チーム,,
レバテック株式会社,ITソリューション事業部,コンサルグループ,CNSフロントチーム,
レバテック株式会社,ITソリューション事業部,クリエイターサービスグループ,CRサービスキャリアアドバイザーチーム,CRSキャリアアドバイザー第3ユニット
レバテック株式会社,ITリクルーティング事業部,リクルーティングアドバイザーグループ,ハイクラスRAチーム,ハイクラス第2ユニット
レバテック株式会社,ITリクルーティング事業部,キャリアアドバイザーグループ,未経験キャリアアドバイザーチーム,未経験第1ユニット
中途採用事業本部,ハタラクティブ事業部,東日本グループ,東日本JGCBチーム,HTCA東日本JGCBユニット1
LW医療テック事業本部,医療テック事業部,顧客展開グループ,顧客展開Cチーム,
エージェント第二事業本部,保育士エージェント事業部,首都圏拠点グループ,,
レバテック株式会社,ITリクルーティング事業部,リクルーティングアドバイザーグループ,開発WEBRAチーム,WEB第1ユニット
マーケティング部,プロダクト戦略室,プロダクトグループ,プロダクトマネジメントチーム,
キャリアチケット事業本部,就職エージェント事業部,キャリアアドバイザーグループ１,キャリアアドバイザーチーム5,
レバテック株式会社,IT新卒紹介事業部,新卒紹介グループ,キャリアアドバイザーチーム,CA第4ユニット
エージェント第一事業本部,看護エージェント事業部,東日本統括グループ,横浜グループ,横浜Eチーム
エージェント第一事業本部,看護エージェント事業部,中日本統括グループ,東海グループ,三重岐阜静岡Cチーム
エージェント第一事業本部,看護エージェント事業部,西日本統括グループ,九州グループ,南九州Eチーム
HRテック事業部,Bizグループ,HRBP室,セールスイネーブルメントユニット,
レバテック株式会社,ITソリューション事業部,大阪グループ(ITソリューション),大阪フロントチーム,フロント第3ユニット
レバテック株式会社,ITソリューション事業部,コンサルグループ,CNSフロントチーム,CNSフロント第4ユニット
エージェント第一事業本部,介護エージェント事業部,プロフェッショナルグループ,東日本Aチーム,
エージェント第一事業本部,看護エージェント事業部,東日本統括グループ,北関東北信越グループ,北関東Aチーム
レバテック株式会社,ITリクルーティング事業部,キャリアアドバイザーグループ,CRキャリアアドバイザーチーム,CR第1ユニット
キャリアチケット事業本部,事業推進部,組織戦略室,管理チーム,
エージェント第一事業本部,介護エージェント事業部,新卒教育グループ,新卒教育チーム,
エージェント第一事業本部,介護エージェント事業部,新卒教育グループ,新卒教育チーム,
エージェント第一事業本部,介護エージェント事業部,新卒教育グループ,新卒教育チーム,
エージェント第一事業本部,看護エージェント事業部,法人グループ,東日本法人Dチーム,
レバテック株式会社,ITソリューション事業部,クリエイターゲームグループ,CRゲームキャリアアドバイザーチーム,CRGキャリアアドバイザー第2ユニット
マーケティング部,データ戦略室,データアーキテクトグループ,第二チーム,
レバテック株式会社,ITメディア事業部,カスタマーサクセスグループ,ミドルチーム,ミドルチーム第二ユニット
レバテック株式会社,ITソリューション事業部,クリエイターゲームグループ,CRゲームフロントチーム,
人事本部,人事採用部,新卒採用グループ,営業職第三チーム,営業職第三グループユニットN
レバテック株式会社,ITソリューション事業部,名古屋グループ,名古屋フロントチーム,
レバテック株式会社,ITソリューション事業部,事業企画室,,
レバテック株式会社,ITソリューション事業部,インフラエンジニアグループ,INキャリアアドバイザーチーム,
レバテック株式会社,ITソリューション事業部,コンサルグループ,CNSキャリアアドバイザーチーム,CNSキャリアアドバイザー第1ユニット
エージェント第一事業本部,看護エージェント事業部,新卒教育グループ,新卒教育チーム,
レバテック株式会社,ITソリューション事業部,コンサルグループ,CNSキャリアアドバイザーチーム,CNSキャリアアドバイザー第2ユニット
レバテック株式会社,ITソリューション事業部,Webユーザーグループ,Webユーザーフロントチーム,Webユーザーフロント第5ユニット
エージェント第一事業本部,リハエージェント事業部,紹介Aグループ,東海チーム,
システム本部,ソリューション開発部,ヒューマンキャピタル事業,セールスシステムグループ,就職領域チーム
レバテック株式会社,LT文化組織戦略部,レバテック人事グループ,専門職採用チーム,
中途採用事業本部,転職エージェント事業部,エージェントグループ,第2ユニット,
マーケティング部,プロダクト戦略室,プロダクトグループ,プロダクトマネジメントチーム,
マーケティング部,ブランドコミュニケーション室,ブランドマネジメントグループ,第1ブランドマネジメントチーム,
人事本部,人事採用部,新卒採用グループ,営業職第一チーム,営業職第一グループユニットC
レバテック株式会社,ITソリューション事業部,クリエイターゲームグループ,CRゲームキャリアアドバイザーチーム,CRGキャリアアドバイザー第1ユニット
中途採用事業本部,ハタラクティブ事業部,東日本グループ,東日本RAチーム,HTRA東日本既存ユニット1
エージェント第一事業本部,看護エージェント事業部,新卒教育グループ,新卒教育チーム,
レバテック株式会社,エンタープライズ事業部,エンタープライズセールスグループ,エンタープライズセールスチーム,SIユニット
マーケティング部,プロダクト戦略室,コンテンツグループ,レバテックラボ編集局,
レバテック株式会社,SES開発部（外勤）,WEB開発グループ（外勤）,,
システム本部,レバウェル開発部,レバウェルグループ,LWtoCチーム,
エージェント第一事業本部,看護エージェント事業部,中日本統括グループ,大阪グループ,大阪Eチーム
エージェント第一事業本部,看護エージェント事業部,東日本統括グループ,北関東北信越グループ,北信越Aチーム
スタッフィング事業本部,介護スタッフィング事業部,ASグループ,AS首都圏Bチーム,
人事本部,人事採用部,中途採用グループ,中途採用チーム,非正規採用ユニット
システム本部,ソリューション開発部,海外事業,海外事業チーム,
エージェント第一事業本部,看護エージェント事業部,法人グループ,中日本法人Aチーム,
レバテック株式会社,ITリクルーティング事業部,キャリアアドバイザーグループ,INキャリアアドバイザーチーム,IN第1ユニット
人事本部,人事採用部,新卒採用グループ,営業職第四チーム,営業職第四グループユニットQ
スタッフィング事業本部,介護スタッフィング事業部,神奈川グループ,神奈川Aチーム,
エージェント第一事業本部,看護エージェント事業部,西日本統括グループ,九州グループ,福岡Cチーム
キャリアチケット事業本部,就職エージェント事業部,リクルートアドバイザーグループ,リクルーティングアドバイザーチーム,
システム本部,レバテック開発部,ビジネスサポートグループ,ITRチーム,
人事本部,人事採用部,中途採用グループ,中途採用チーム,非正規採用ユニット
LW経営企画本部,組織戦略部,人材開発グループ,人材育成チーム,
LW経営企画本部,経営企画部,CRMセールス,看護長期管理チーム,
レバテック株式会社,エンタープライズ事業部,エンタープライズセールスグループ,エンタープライズセールスチーム,ユーザーユニット
レバテック株式会社,シェアードサービス推進部,サービスオペレーショングループ,フリーランスチーム,
中途採用事業本部,カスタマーロイヤルティ推進室,ITRグループ,アウトバウンドチーム,スカウトユニット
中途採用事業本部,人材戦略室,HRBPユニット,,
エージェント第一事業本部,看護エージェント事業部,法人グループ,MDC施設在宅Bチーム,
LW管理本部,LW管理部,紹介事業・法務グループ,紹介事業管理チーム,
エージェント第一事業本部,介護エージェント事業部,北信越・北関東グループ,北関東Cチーム,
中途採用事業本部,HC事業企画部,事業企画グループ,データアナリティクスチーム,
スタッフィング事業本部,介護スタッフィング事業部,首都圏Bグループ,船橋Aチーム,
システム本部,NALYSYS開発部,NALYSYSプロダクトチーム,プロダクトマネジメントユニット,
レバテック株式会社,ITソリューション事業部,大阪グループ(ITソリューション),大阪CAチーム,
レバテック株式会社,ITソリューション事業部,Webベンダーグループ,Webベンダーフロントチーム,
レバテック株式会社,ITソリューション事業部,コンサルグループ,CNSフロントチーム,CNSフロント第3ユニット
レバテック株式会社,ITソリューション事業部,Webユーザーグループ,WebユーザーCAチーム,
レバテック株式会社,ITソリューション事業部,Webベンダーグループ,WebベンダーCAチーム,WebベンダーCA第1ユニット
LW医療テック事業本部,医療テック事業部,顧客展開グループ,顧客展開Cチーム,
マーケティング部,ブランドコミュニケーション室,クリエイティブグループ,,
マーケティング部,プロダクト戦略室,メディアグロースグループ,メディアプランニングチーム,海外ユニット
海外事業本部,海外教育事業部,日本支部,,
エージェント第一事業本部,看護エージェント事業部,中日本統括グループ,兵庫グループ,兵庫Aチーム
システム本部,レバウェル開発部,レバウェルSREグループ,プロダクトSREチーム,
エージェント第一事業本部,介護エージェント事業部,東海グループ,三重岐阜静岡Bチーム,
レバテック株式会社,LT文化組織戦略部,レバテック人事グループ,専門職採用チーム,
エージェント第一事業本部,看護エージェント事業部,法人グループ,MDC美容チーム,
エージェント第一事業本部,看護エージェント事業部,法人グループ,MDC美容チーム,
エージェント第一事業本部,看護エージェント事業部,西日本統括グループ,九州グループ,福岡Aチーム
システム本部,レバテック開発部,DevOps推進グループ,SREチーム,
エージェント第一事業本部,看護エージェント事業部,西日本統括グループ,中四国グループ,広島Aチーム
システム本部,レバテック開発部,ビジネスサポートグループ,RPA開発チーム,
エージェント第一事業本部,看護エージェント事業部,西日本統括グループ,中四国グループ,岡山四国Cチーム
レバテック株式会社,ITソリューション事業部,クリエイターゲームグループ,CRゲームキャリアアドバイザーチーム,CRGキャリアアドバイザー第1ユニット
レバテック株式会社,ITソリューション事業部,Webベンダーグループ,Webベンダーフロントチーム,Webベンダーフロント第1ユニット
LWプロフェッショナルメディア事業本部,レバウェルダイレクト事業部,カスタマーサクセスグループ,カスタマーサクセスAチーム,
レバテック株式会社,ITソリューション事業部,ITS支店グループ,地方事業推進チーム,CLユニット
レバテック株式会社,ITソリューション事業部,ITS支店グループ,地方事業推進チーム,
キャリアチケット事業本部,就職エージェント事業部,キャリアアドバイザーグループ１,キャリアアドバイザーチーム1,CA渋谷ユニット2
レバテック株式会社,ITリクルーティング事業部,リクルーティングアドバイザーグループ,開発WEBRAチーム,WEB第1ユニット
中途採用事業本部,BPO推進室,営業推進グループ,LTチーム,
中途採用事業本部,BPO推進室,営業推進グループ,LTチーム,
エージェント第一事業本部,リハエージェント事業部,紹介Aグループ,首都圏Bチーム,
LW経営企画本部,経営企画部,CRMセールス,リハCRMセールスチーム,
レバテック株式会社,ITリクルーティング事業部,リクルーティングアドバイザーグループ,クリエイターRAチーム,CR第2ユニット
レバテック株式会社,ITソリューション事業部,クリエイターサービスグループ,CRサービスフロントチーム,
レバテック株式会社,ITソリューション事業部,フォローグループ,ITエンジニアチーム1,ITエンジニアチーム1第3ユニット
アジャイルエフェクト事業部,アジャイルエフェクトセールスチーム,,,
レバテック株式会社,ITリクルーティング事業部,名古屋グループ,リクルーティングアドバイザーチーム,
中途採用事業本部,ワークリア事業部,WL管理グループ,WL管理千葉チーム,WL管理千葉ユニット6
スタッフィング事業本部,介護スタッフィング事業部,首都圏Bグループ,さいたまAチーム,
システム本部,メディアシステム部,テラテイルグループ,,
人事本部,人事採用部,中途採用グループ,中途採用チーム,専門職採用Aユニット
システム本部,レバテック開発部,ビジネスサポートグループ,ITSチーム,
中途採用事業本部,ハタラクティブ事業部,西日本グループ,西日本NCチーム,HTCA西日本NCユニット1
中途採用事業本部,転職エージェント事業部,エージェントグループ,第2ユニット,
エージェント第一事業本部,介護エージェント事業部,営業推進グループ,フォロワーチーム,
エージェント第三事業本部,薬剤師エージェント事業部,薬剤師エージェントグループ,薬剤師Bチーム,
レバテック株式会社,ITリクルーティング事業部,キャリアアドバイザーグループ,未経験キャリアアドバイザーチーム,未経験第2ユニット
中途採用事業本部,ハタラクティブ事業部,西日本グループ,西日本RAチーム,HTRA西日本新規ユニット1
エージェント第一事業本部,看護エージェント事業部,中日本統括グループ,大阪グループ,大阪Cチーム
エージェント第一事業本部,看護エージェント事業部,東日本統括グループ,東京日勤グループ,東京日勤Cチーム
人事本部,人事採用部,中途採用グループ,中途採用チーム,専門職採用Aユニット
レバテック株式会社,ITソリューション事業部,フォローグループ,クリエイターチーム,クリエイターフォロワー第2ユニット
レバテック株式会社,ITメディア事業部,カスタマーサクセスグループ,ミドルチーム,ミドルチーム第一ユニット
マーケティング部,プロダクト戦略室,メディアグロースグループ,メディアプランニングチーム,LTユニット
レバテック株式会社,ITソリューション事業部,インフラエンジニアグループ,INキャリアアドバイザーチーム,INキャリアアドバイザー第1ユニット
レバテック株式会社,ITソリューション事業部,,,
レバテック株式会社,ITリクルーティング事業部,リクルーティングアドバイザーグループ,INRAチーム,IN第3ユニット
エージェント第一事業本部,介護エージェント事業部,新卒教育グループ,新卒教育チーム,
レバテック株式会社,ITソリューション事業部,福岡グループ(ITソリューション),福岡フロントチーム,福岡フロント第1ユニット
中途採用事業本部,HC事業企画部,事業推進グループ,ISチーム,
マーケティング部,プロダクト戦略室,プロダクトデザイングループ,デザインディレクションチーム,
システム本部,レバテック開発部,ITRプロダクト開発グループ,LTD開発チーム,
スタッフィング事業本部,介護スタッフィング事業部,東京グループ,東京Cチーム,
エージェント第一事業本部,看護エージェント事業部,中日本統括グループ,東海グループ,愛知Aチーム
レバテック株式会社,ITソリューション事業部,フォローグループ,ITエンジニアチーム1,ITエンジニアチーム1第2ユニット
レバテック株式会社,ITソリューション事業部,福岡グループ(ITソリューション),福岡フロントチーム,
スタッフィング事業本部,介護スタッフィング事業部,東京グループ,東京Bチーム,
LW経営企画本部,経営企画部,CRMセールス,看護長期管理チーム,
レバテック株式会社,管理部,業務管理グループ,手続チーム,契約ユニット
中途採用事業本部,HC事業企画部,事業推進グループ,リテンションチーム,
レバテック株式会社,ITメディア事業部,カスタマーサクセスグループ,,
システム本部,レバテック開発部,ビジネスサポートグループ,案件ドメインチーム,
レバテック株式会社,ITソリューション事業部,Webユーザーグループ,Webユーザーフロントチーム,Webユーザーフロント第3ユニット
システム本部,NALYSYS開発部,NALYSYSエンジニアリングチーム,第5ユニット,
経営企画管理本部,経理部,,,
システム本部,情報システム室,,,
システム本部,メディアシステム部,システムデベロップメントグループ,システムデベロップメントチーム,
システム本部,NALYSYS開発部,NALYSYSプロダクトチーム,プロダクトマネジメントユニット,
海外事業本部,人材事業推進部,AJSグループ,,
マーケティング部,データ戦略室,データアナリティクスグループ,,
エージェント第一事業本部,看護エージェント事業部,中日本統括グループ,大阪グループ,大阪Hチーム
レバテック株式会社,ITリクルーティング事業部,福岡グループ,,
レバテック株式会社,IT新卒紹介事業部,新卒メディアグループ,ビジネスチーム,CSユニット
システム本部,テクノロジー戦略室,TQCチーム,,
レバテック株式会社,ITソリューション事業部,Webユーザーグループ,WebユーザーCAチーム,WebユーザーCA第1ユニット
レバテック株式会社,ITリクルーティング事業部,大阪グループ(ITリクルーティング),キャリアアドバイザーチーム,インフラユニット
スタッフィング事業本部,介護スタッフィング事業部,ASグループ,AS関西拠点チーム,
スタッフィング事業本部,介護スタッフィング事業部,ASグループ,AS首都圏Bチーム,
レバテック株式会社,ITリクルーティング事業部,リクルーティングアドバイザーグループ,INRAチーム,IN第2ユニット
レバテック株式会社,ITリクルーティング事業部,キャリアアドバイザーグループ,CRキャリアアドバイザーチーム,CR第1ユニット
システム本部,NALYSYS開発部,NALYSYSエンジニアリングチーム,第5ユニット,
システム本部,レバテック開発部,ビジネスサポートグループ,案件ドメインチーム,
レバテック株式会社,インサイドセールス部,,,
レバテック株式会社,ITリクルーティング事業部,名古屋グループ,キャリアアドバイザーチーム,CA第1ユニット
レバテック株式会社,ITリクルーティング事業部,キャリアアドバイザーグループ,ハイクラスキャリアアドバイザーチーム,ハイクラス第1ユニット
エージェント第一事業本部,介護エージェント事業部,新卒教育グループ,新卒教育チーム,
システム本部,レバテック開発部,ITSプロダクト開発グループ,LTP開発チーム,
LW経営企画本部,経営企画部,CRMセールス,医療技師CRMセールスチーム,
佐賀支店,佐賀支店（マーケティング推進室）,SEOチーム,,
システム本部,レバテック開発部,ITRプロダクト開発グループ,LTD開発チーム,
システム本部,テクノロジー戦略室,SREチーム,プラットフォームユニット,
システム本部,ソリューション開発部,海外事業,海外事業チーム,
システム本部,NALYSYS開発部,NALYSYSエンジニアリングチーム,第2ユニット,
マーケティング部,ブランドコミュニケーション室,プロモーショングループ,HT・新規事業チーム,
システム本部,レバテック開発部,LTブランド開発グループ,オウンドBrandチーム,
M&Aアドバイザリー事業部,バックオフィス,,,
中途採用事業本部,ハタラクティブ事業部,首都圏グループ,HTCA首都圏JGチーム,
中途採用事業本部,BPO推進室,営業推進グループ,LTチーム,
エージェント第一事業本部,看護エージェント事業部,法人グループ,東日本法人Aチーム,
レバテック株式会社,ITリクルーティング事業部,キャリアアドバイザーグループ,開発キャリアアドバイザーチーム,開発第2ユニット
レバテック株式会社,管理部,労務グループ,,
レバテック株式会社,ITリクルーティング事業部,大阪グループ(ITリクルーティング),リクルーティングアドバイザーチーム,第2ユニット
エージェント第一事業本部,看護エージェント事業部,東日本統括グループ,東京常勤グループ,東京常勤Dチーム
レバテック株式会社,ITリクルーティング事業部,大阪グループ(ITリクルーティング),,
海外事業本部,メキシコ支社,日本オフィス,,
レバテック株式会社,ITリクルーティング事業部,リクルーティングアドバイザーグループ,クリエイターRAチーム,CR第1ユニット
マーケティング部,ブランドコミュニケーション室,プロモーショングループ,HT・新規事業チーム,
中途採用事業本部,ハタラクティブ事業部,西日本グループ,西日本JGチーム,HTCA西日本JGユニット2
レバテック株式会社,ITリクルーティング事業部,大阪グループ(ITリクルーティング),キャリアアドバイザーチーム,開発第3ユニット
レバテック株式会社,ITメディア事業部,カスタマーサクセスグループ,カスタマーサポートチーム,
レバテック株式会社,シェアードサービス推進部,サービスオペレーショングループ,インサイドセールスチーム,
レバテック株式会社,ITソリューション事業部,クリエイターサービスグループ,CRサービスキャリアアドバイザーチーム,CRSキャリアアドバイザー第4ユニット
レバテック株式会社,ITソリューション事業部,Webユーザーグループ,Webユーザーフロントチーム,Webユーザーフロント第3ユニット
エージェント第一事業本部,看護エージェント事業部,法人グループ,MDC施設在宅Cチーム,
エージェント第一事業本部,看護エージェント事業部,法人グループ,中日本法人Bチーム,
システム本部,レバテック開発部,ITSプロダクト開発グループ,LTPリプレイスチーム,
システム本部,メディアシステム部,リクルートメントDXグループ,リクルートメントDXチーム,
エージェント第一事業本部,介護エージェント事業部,プロフェッショナルグループ,西日本Bチーム,
人事本部,人事採用部,新卒採用グループ,営業職第五チーム,営業職第五グループユニットS
総務部,総務グループ1,,,
エージェント第一事業本部,介護エージェント事業部,さいたまグループ,さいたまDチーム,
システム本部,ソリューション開発部,海外事業,海外事業チーム,
レバテック株式会社,ITソリューション事業部,フォローグループ,ITエンジニアチーム2,ITエンジニアチーム2第2ユニット
レバテック株式会社,ITソリューション事業部,大阪グループ(ITソリューション),大阪フロントチーム,フロント第1ユニット
システム本部,システム人事戦略室,,,
システム本部,レバテック開発部,ITRプロダクト開発グループ,マイページ開発チーム,
システム本部,レバテック開発部,ビジネスサポートグループ,ITSチーム,
エージェント第一事業本部,看護エージェント事業部,東日本統括グループ,東京常勤グループ,東京常勤Bチーム
システム本部,レバテック開発部,DevOps推進グループ,,
人事本部,人事労務部,労務管理Bチーム,,
システム本部,レバテック開発部,新卒領域プロダクト開発グループ,オウンドLTRチーム,
中途採用事業本部,ハタラクティブ事業部,首都圏グループ,HTCA首都圏JGチーム,HTCA首都圏JGユニット2
中途採用事業本部,ワークリア事業部,WL管理グループ,WL管理千葉チーム,WL管理千葉ユニット1
エージェント第一事業本部,介護エージェント事業部,関西拠点グループ,京都奈良Aチーム,
スタッフィング事業本部,介護スタッフィング事業部,ASグループ,AS首都圏Aチーム,
システム本部,レバウェル開発部,データマネジメントグループ,データマネジメントチーム,
エージェント第一事業本部,リハエージェント事業部,紹介Aグループ,首都圏Dチーム,
エージェント第一事業本部,介護エージェント事業部,北信越・北関東グループ,北信越Aチーム,
中途採用事業本部,ハタラクティブ事業部,西日本グループ,西日本JGチーム,
システム本部,レバテック開発部,ITSプロダクト開発グループ,オウンドITSチーム,
人事本部,人事採用部,中途採用グループ,中途採用チーム,ビジネス職採用Bユニット
中途採用事業本部,BPO推進室,人事管理グループ,,
スタッフィング事業本部,介護スタッフィング事業部,ASグループ,AS関西拠点チーム,
